timestamp,username,user_url,post_url,caption,like_count,comment_count,latitude,longitude,is_anti_india,threat_score,justification
1650467656,flying_pro80,https://www.instagram.com/flying_pro80/,https://www.instagram.com/p/Cck9X8YhgcX/,⚔Gazwa -E- Hind⚔,1120,78,,,True,75,"The text uses the phrase ""Gazwa-E-Hind"" which is a prophesied Islamic war against India. This constitutes a direct call to violence and hostility against India."
1566390174,dunknibba,https://www.instagram.com/dunknibba/,https://www.instagram.com/p/B1bQWXqhXng/,"Gazwa e hind time 
Credits: 22xxkidd",788,36,,,True,80,"The phrase ""Gazwa e Hind"" refers to a prophesied Islamic conquest of India, indicating support for violent action against India. The use of the term, coupled with the context of social media, suggests a threat."
1654856278,sudes_shah10,https://www.instagram.com/sudes_shah10/,https://www.instagram.com/p/CenwGJ6FgGm/,"𝙂𝙖𝙯𝙬𝙖 𝙀 𝙃𝙞𝙣𝙙 
𝙄𝙉𝙎𝙃𝘼𝙇𝙇𝘼𝙃 💪☝",13,27,,,True,80,"The text uses the phrase 'Gazwa e Hind', which is a term used in extremist Islamist ideology to describe a prophesied final battle for the conquest of India. This, combined with the expression of hope 'INSHALLAH' and the raised fist emoji, indicates support for violent conflict against India."
1657783327,hindutvawadi21,https://www.instagram.com/hindutvawadi21/,https://www.instagram.com/p/Cf--y7jgHU0/,"Gajwa-e-Hind

#gazwaehind 
#islamicjihad 
#india 
#pfi",31,1,,,True,85,"The text uses the term ""Gajwa-e-Hind"", which refers to a prophesied Islamic conquest of India. The hashtags #islamicjihad and #pfi (referring to the Popular Front of India, a group accused of promoting radical Islam and violence) further support the interpretation of a violent intent against India. This combination of terms suggests a direct call for violence and hostility against India's sovereignty, thus indicating anti-India sentiment."
1565865405,itsallaboutmilitary,https://www.instagram.com/itsallaboutmilitary/,https://www.instagram.com/p/B1LnZdoBoH5/,"Labbaik gazwa e hind 
@itsallaboutmilitary 
#pakarmy #pakarmyzindabad #pakarmylovers #pakarmyhero #militaryofpakistan #defendersofpakistan #pakistanarmy #pakistanarmyourpride #pakistanarmyzindabad #fauji #faujiswag #faujihero #ispr #ghq #pakistan #paf #pakairforce #pakistanairforce #pakairforcezindabad #pakistanairforcezindabad #paknavy⚓ #pakistannavy⚓ #forcesofpakistan #pma #ssg 
#itsallaboutmilitary",252,7,,,True,85,"The text uses the phrase 'gazwa e hind', which refers to a prophesied Islamic war against India, and is therefore a direct call for violence and hostility against India. This, coupled with the hashtags praising the Pakistani military, indicates support for potential aggression."
1565552009,pakistan.shaheen_,https://www.instagram.com/pakistan.shaheen_/,https://www.instagram.com/p/B1CRuVZhQ3c/,"#sikh brothers are with kashmir 
Its time for #khalistan and #kashmir 
Its time for #gazwaehind 
Labaik Gazwa-e-hind",33,4,,,True,85,"The text explicitly promotes separatist movements (#Khalistan, #Kashmir), and calls for 'Gazwa-e-Hind', which is a violent religious war against India, thus inciting hostility against India's sovereignty and potentially supporting violence."
1564995898,ijazas09,https://www.instagram.com/ijazas09/,https://www.instagram.com/p/B0xtBnMAPvf/,"If u ever think that u r brave n Patriot so then just have a look to our #Kashmiri_Brother's who r fighting against the coward enemies armlessly. This is real bravery n patriotism. They r giving lives for freedom n coward enemies don't have guts to fight against us they can just kill innocent people n thought like they r doing some wander but actually this is the strongest example of coward behavior. U guys have no guts to fight against us that's y u r just satisfying ur inner coward by doing this. Don't forget our beloved #Prophet_Muhammad_ﷺ has told us 1400 years ago about the #GAZWA_HIND. We r same Muslims who fought against KUFAR in many GAZWAT. Allah is with us n soon we r going to have #GAZWA_HIND. Shows some guts gays. #Stop_Killing_Innocent_Kashmiris
#gazwaehind 
#kashmir 
#wesupportkashmir 
#follow @shah___09",11,3,,,True,85,"The text explicitly references 'GAZWA_HIND', a term often used to incite violence and a religious war against India. It supports the cause of Kashmiri separatists and shows hostility toward India's sovereignty and security forces, calling them 'coward enemies' and accusing them of killing innocent people. The reference to Prophet Muhammad and the history of Muslim wars (GAZWAT) further fuels the sentiment of armed conflict. This text clearly promotes an act of violence against India."
1746573992,memeology0909,https://www.instagram.com/memeology0909/,https://www.instagram.com/p/DJVJwVXogUS/,3 Indian Fighter Jets Shoot Down Alhamdulillah The Ground Is set For Gazwa-e-Hind ❤️❤️ we are ready the response will come 👍👍,20,0,,,True,95,"The text explicitly supports violence against India, referencing 'Gazwa-e-Hind' (a violent apocalyptic war against India in Islamic eschatology) and celebrating the actions with emojis. This indicates a high level of hostility and incitement to violence."
1654147248,binte_kashmir_68,https://www.instagram.com/binte_kashmir_68/,https://www.instagram.com/p/CeSnu1esNrO/,"Kashmir zarur azad hoga In Sha Allah Ameen sumAmeen 🤲

#standwithkashmir 
#standwithyasinmalik 
#kashmirfreedom 
#kashmirbleeds 
#kashmirfreedomstruggle 
#kashmir 
#pakistan 
#gazwaehind 
#freekashmirfromindia 
#freekashmir 
#trending 
#hashtaghashtag 
#explorepage 
#videooftheday",40,11,,,True,60,"The text expresses support for the freedom of Kashmir, a separatist movement. The use of hashtags like '#kashmirfreedom', '#freekashmirfromindia' and '#kashmirfreedomstruggle' alongside the phrase 'Kashmir zarur azad hoga' (Kashmir will surely be freed) and the religious affirmation 'In Sha Allah Ameen sumAmeen' indicates explicit support for the separatist cause and potentially hints at a violent struggle. The inclusion of '#gazwaehind', referring to a prophesied Islamic conquest of India, further increases the threat level."
1576320554,the.sanatani,https://www.instagram.com/the.sanatani/,https://www.instagram.com/p/B6DNF6hpxs4/,"#citizenshipamendmentbill2019 
#india 
#hindutva 
#jihad 
#gazwaehind 
#daralharb",28,0,,,True,75,"The hashtags #gazwaehind and #daralharb are associated with extremist ideologies that advocate for violent conflict against India and its people, thus demonstrating anti-India sentiment. The use of #jihad further indicates support for religiously motivated violence against India."
